모델: 2/20부터 일평균기온 누적(기저온도 0), 임계값=LOO평균

연도    실제만개일              적산값       임계값       예측만개일      오차
2008  2008-03-28       299.2     298.9  2008-03-28       0
2009  2009-03-22       278.2     300.2  2009-03-25       3
2010  2010-03-30       317.0     297.8  2010-03-28      -2
2011  2011-04-01       304.1     298.6  2011-04-01       0
2012  2012-04-03       325.3     297.3  2012-04-01      -2
2013  2013-03-21       246.9     302.2  2013-03-27       6
2014  2014-03-24       265.7     301.0  2014-03-27       3
2015  2015-03-27       276.3     300.3  2015-03-29       2
2016  2016-03-25       255.7     301.6  2016-03-30       5
2017  2017-03-21       206.1     304.7  2017-04-02      12
2020  2020-03-26       306.0     298.5  2020-03-26       0
2021  2021-03-23       294.1     299.2  2021-03-24       1
2022  2022-03-31       319.4     297.6  2022-03-30      -1
2023  2023-03-27       330.8     296.9  2023-03-24      -3
2024  2024-04-01       338.3     296.5  2024-03-29      -3
2025  2025-04-02       349.6     295.7  2025-03-27      -6
2026  2026-03-30       368.8     294.5  2026-03-25      -5

MAE=3.18, 최대오차=12일
