date,avgTa,minTa,maxTa,sumRn
2000-01-01,7.5,1.8,11.7,
2000-01-02,8.8,5.2,12.6,
2000-01-03,5.3,1.1,10.9,
2000-01-04,5.1,0.8,10.8,
2000-01-05,8.2,1.7,13.8,3.0
2000-01-06,9.0,5.1,14.9,1.0
2000-01-07,0.7,-1.3,5.1,
2000-01-08,1.9,-2.1,6.0,
2000-01-09,1.8,0.6,2.8,1.5
2000-01-10,4.4,0.6,9.2,
2000-01-11,5.3,-0.8,10.3,1.0
2000-01-12,8.1,5.5,9.6,0.5
2000-01-13,6.8,1.7,10.9,
2000-01-14,2.8,0.0,7.2,
2000-01-15,3.5,-0.8,7.6,
2000-01-16,5.9,3.5,8.6,
2000-01-17,5.7,1.5,9.6,0.0
2000-01-18,5.1,1.9,9.2,
2000-01-19,0.8,-2.5,5.5,0.0
2000-01-20,-2.6,-5.3,1.0,
2000-01-21,-2.1,-7.5,2.0,
2000-01-22,0.8,-2.8,4.4,1.5
2000-01-23,5.8,0.8,11.0,8.8
2000-01-24,5.0,3.0,7.4,
2000-01-25,0.7,-3.2,5.4,
2000-01-26,-2.8,-6.7,1.4,
2000-01-27,-1.0,-5.2,3.9,
2000-01-28,0.9,-4.6,7.6,
2000-01-29,2.0,-3.3,6.9,
2000-01-30,1.4,-2.7,6.2,
2000-01-31,-2.2,-6.1,1.9,
2000-02-01,-0.7,-5.9,5.4,
2000-02-02,0.3,-4.1,4.7,
2000-02-03,2.0,-1.5,6.7,
2000-02-04,2.2,-1.6,7.7,
2000-02-05,4.8,-1.6,9.9,
2000-02-06,5.2,1.6,10.2,
2000-02-07,3.3,0.0,7.8,
2000-02-08,-1.5,-4.2,2.3,
2000-02-09,0.0,-6.5,7.1,
2000-02-10,2.3,-2.3,8.0,
2000-02-11,4.9,0.2,11.0,
2000-02-12,6.1,0.1,11.7,
2000-02-13,7.4,1.9,13.1,
2000-02-14,5.3,-0.8,11.9,
2000-02-15,-0.5,-3.0,4.9,
2000-02-16,-0.3,-4.8,5.3,
2000-02-17,1.4,-3.8,7.0,
2000-02-18,2.8,-3.6,7.8,
2000-02-19,5.9,2.8,9.7,
2000-02-20,6.1,1.8,10.6,
2000-02-21,2.8,-2.2,8.3,
2000-02-22,2.7,-1.0,7.9,
2000-02-23,5.4,0.3,11.0,
2000-02-24,1.5,-1.4,5.7,
2000-02-25,1.5,-3.1,6.5,
2000-02-26,4.2,0.3,9.2,
2000-02-27,4.3,-0.1,8.8,
2000-02-28,4.0,-0.8,9.2,
2000-02-29,2.7,-3.2,9.2,
2000-03-01,5.4,0.2,11.0,
2000-03-02,8.6,2.2,17.1,
2000-03-03,8.9,3.0,16.8,3.7
2000-03-04,9.0,6.0,11.4,4.5
2000-03-05,9.5,5.1,14.0,
2000-03-06,8.9,3.6,15.7,
2000-03-07,3.7,-1.1,10.7,
2000-03-08,3.1,-2.7,9.9,
2000-03-09,4.2,-1.3,9.1,
2000-03-10,6.5,0.4,11.7,
2000-03-11,9.1,5.9,12.5,
2000-03-12,10.2,6.0,15.6,
2000-03-13,9.5,5.0,16.3,
2000-03-14,10.4,5.7,17.1,
2000-03-15,8.8,3.5,14.7,13.3
2000-03-16,7.8,4.6,13.2,5.9
2000-03-17,8.6,1.9,16.2,
2000-03-18,9.6,3.7,16.3,
2000-03-19,11.3,7.0,17.8,
2000-03-20,8.5,4.9,12.9,
2000-03-21,9.1,4.3,13.7,
2000-03-22,9.8,5.9,14.5,
2000-03-23,7.6,5.1,10.7,3.8
2000-03-24,7.7,4.6,13.5,
2000-03-25,9.2,3.2,15.1,
2000-03-26,11.6,4.0,19.5,
2000-03-27,12.8,5.6,18.4,
2000-03-28,12.2,6.7,17.7,1.9
2000-03-29,10.1,5.9,15.3,
2000-03-30,11.2,3.8,19.7,
2000-03-31,11.9,7.3,17.0,
2000-04-01,12.1,7.7,18.2,
2000-04-02,14.0,8.3,19.7,
2000-04-03,13.8,10.4,19.8,
2000-04-04,12.9,9.9,15.9,0.4
2000-04-05,13.3,8.4,20.5,0.0
2000-04-06,10.5,6.0,16.0,
2000-04-07,12.5,5.7,19.3,
2000-04-08,11.1,7.7,18.4,
2000-04-09,11.6,6.8,15.8,5.0
2000-04-10,11.4,5.4,16.9,7.1
2000-04-11,11.1,2.4,18.8,
2000-04-12,13.0,7.3,19.0,
2000-04-13,14.5,8.7,20.7,
2000-04-14,14.2,11.0,20.6,
2000-04-15,11.5,9.3,16.2,11.2
2000-04-16,11.9,8.6,17.9,0.1
2000-04-17,15.2,7.9,24.1,
2000-04-18,15.5,10.4,20.4,
2000-04-19,14.6,13.0,16.3,50.5
2000-04-20,14.9,12.6,19.4,
2000-04-21,14.3,11.9,19.1,0.7
2000-04-22,15.2,10.8,20.7,
2000-04-23,14.4,8.2,20.8,
2000-04-24,14.8,9.6,20.6,
2000-04-25,14.2,10.4,19.4,0.7
2000-04-26,13.5,10.4,16.5,2.4
2000-04-27,13.3,9.7,20.5,
2000-04-28,13.9,8.7,22.0,
2000-04-29,16.3,9.7,24.5,
2000-04-30,12.8,11.2,15.2,3.0
2000-05-01,14.9,9.7,21.9,
2000-05-02,14.8,11.0,22.2,
2000-05-03,15.6,10.2,22.5,
2000-05-04,16.4,11.5,22.9,
2000-05-05,17.5,12.0,25.0,
2000-05-06,15.9,12.9,19.3,0.4
2000-05-07,16.6,10.3,23.3,
2000-05-08,18.8,12.1,27.5,
2000-05-09,16.0,13.5,22.8,
2000-05-10,14.6,13.3,16.4,13.0
2000-05-11,14.7,10.1,19.6,
2000-05-12,16.4,11.5,21.0,
2000-05-13,14.4,12.4,15.9,7.1
2000-05-14,15.3,9.9,21.6,
2000-05-15,16.9,13.5,24.3,
2000-05-16,16.3,13.7,20.8,0.6
2000-05-17,16.5,13.7,21.3,0.4
2000-05-18,15.7,12.8,19.9,
2000-05-19,17.4,14.4,23.1,0.0
2000-05-20,20.2,15.6,25.9,
2000-05-21,17.9,13.5,22.2,
2000-05-22,20.3,15.0,27.8,
2000-05-23,22.1,16.5,29.5,
2000-05-24,23.1,16.5,30.7,
2000-05-25,24.2,18.3,32.8,
2000-05-26,20.4,17.6,24.1,18.8
2000-05-27,20.1,17.7,25.5,9.0
2000-05-28,21.8,17.8,25.8,
2000-05-29,22.6,15.5,29.7,
2000-05-30,19.1,15.3,23.2,2.4
2000-05-31,17.8,14.8,20.7,13.3
2000-06-01,18.8,16.4,22.4,
2000-06-02,19.2,15.9,24.5,
2000-06-03,19.8,17.6,24.9,
2000-06-04,21.5,17.4,28.9,
2000-06-05,20.6,16.3,29.0,
2000-06-06,24.4,17.1,32.1,
2000-06-07,24.2,19.3,31.5,
2000-06-08,19.9,17.3,24.0,1.0
2000-06-09,18.7,17.1,22.1,0.0
2000-06-10,18.3,16.9,20.6,0.2
2000-06-11,19.6,17.0,23.8,
2000-06-12,19.1,16.5,22.3,
2000-06-13,20.7,15.4,26.3,
2000-06-14,23.0,19.9,27.6,0.0
2000-06-15,23.1,17.4,30.3,
2000-06-16,23.1,19.4,30.8,
2000-06-17,21.8,18.8,28.1,1.3
2000-06-18,21.2,18.4,27.2,
