연도    만개일           일수(2/1~)       적산기온합    결측
2008  2008-03-28          57       325.8     0
2009  2009-03-22          50       418.3     0
2010  2010-03-30          58       377.2     0
2011  2011-04-01          60       373.8     0
2012  2012-04-03          63       336.7     0
2013  2013-03-21          49       298.1     0
2014  2014-03-24          52       349.4     0
2015  2015-03-27          55       349.0     0
2016  2016-03-25          54       327.9     0
2017  2017-03-21          49       275.9     0
2020  2020-03-26          55       390.6     0
2021  2021-03-23          51       367.4     0
2022  2022-03-31          59       357.0     0
2023  2023-03-27          55       421.9     0
2024  2024-04-01          61       462.1     0
2025  2025-04-02          61       381.6     0
2026  2026-03-30          58       458.7     0

평균: 368.9, 표준편차: 49.6, 변동계수(CV): 13.5%
