연도    실제만개일             임계값(LOO평균)       예측만개일     오차(일)
2008  2008-03-28             371.6  2008-04-02         5
2009  2009-03-22             365.8  2009-03-19        -3
2010  2010-03-30             368.4  2010-03-29        -1
2011  2011-04-01             368.6  2011-04-01         0
2012  2012-04-03             370.9  2012-04-07         4
2013  2013-03-21             373.3  2013-03-29         8
2014  2014-03-24             370.1  2014-03-26         2
2015  2015-03-27             370.1  2015-03-29         2
2016  2016-03-25             371.5  2016-03-30         5
2017  2017-03-21             374.7  2017-04-02        12
2020  2020-03-26             367.5  2020-03-25        -1
2021  2021-03-23             369.0  2021-03-24         1
2022  2022-03-31             369.6  2022-04-02         2
2023  2023-03-27             365.6  2023-03-23        -4
2024  2024-04-01             363.1  2024-03-24        -8
2025  2025-04-02             368.1  2025-04-01        -1
2026  2026-03-30             363.3  2026-03-23        -7

MAE(평균절대오차): 3.88일, n=17
