연도    축제기간                    만발일         상태             미스매치(일)
2011  2011-04-01~2011-04-10   2011-04-04  적중                   0
2012  2012-04-01~2012-04-10   2012-04-09  적중                   0
2013  2013-04-01~2013-04-10   2013-03-29  조기만개                 3
2014  2014-04-01~2014-04-10   2014-04-02  적중                   0
2016  2016-04-01~2016-04-10   2016-04-03  적중                   0
2017  2017-04-01~2017-04-10   2017-04-01  적중                   0
2018  2018-04-01~2018-04-10   2018-03-31  조기만개                 1
2019  2019-04-01~2019-04-10   2019-03-27  조기만개                 5
2023  2023-03-25~2023-04-03   2023-03-27  적중                   0
2024  2024-03-22~2024-03-31   2024-03-31  적중                   0
2025  2025-03-29~2025-04-06   2025-04-02  적중                   0
2026  2026-03-27~2026-04-05   2026-03-30  적중                   0

고정기간(2011~2019) 미스매치율: 3/8 = 38%
조정기간(2023~2026) 미스매치율: 0/4 = 0%
