지점            위도      평균개화일(DOY)         평균개화일
제주         33.51            69.4         03/11
여수         34.74            72.1         03/14
목포         34.82            74.0         03/16
남해         34.85            69.4         03/11
통영         34.85            72.9         03/15
거제         34.89            70.7         03/13
부산         35.10            70.2         03/12
진주         35.16            77.0         03/19
광주         35.17            69.0         03/11
창원         35.23            70.0         03/12
산청         35.41            77.6         03/20
밀양         35.49            73.2         03/15
합천         35.57            73.1         03/15
거창         35.68            84.4         03/26
전주         35.82            78.7         03/21
대구         35.87            74.4         03/16
대전         36.37            81.3         03/23
청주         36.64            81.1         03/23
태백         37.16           103.6         04/15
영월         37.18            94.7         04/06
수원         37.29            84.7         03/27
원주         37.34            84.9         03/27
동해         37.51            80.9         03/23
서울         37.57            83.1         03/25
홍천         37.70            93.7         04/05
강릉         37.75            77.4         03/19
북강릉        37.80            79.3         03/21
춘천         37.90            89.9         04/01
동두천        37.90            93.5         04/05
북춘천        37.94            86.6         03/29
인제         38.07            98.1         04/09
철원         38.15            96.3         04/07
속초         38.25            82.5         03/24

위도-개화일 상관계수 r = 0.780
위도 1도당 개화 지연: 약 5.5일

창원의 전국 개화순위: 4위 / 33개 지점 (빠른 순)
