=== 개화 모델 (공식 기상청 자료, n=27) ===
최적 조합: 시작일 2/10, 기저온도 0도 -> LOOCV MAE 1.59일

연도    실제일                적산값       임계값         예측일      오차
2000  2000-03-31       346.1     326.7  2000-03-30      -1
2001  2001-03-27       327.0     327.5  2001-03-28       1
2002  2002-03-21       337.1     327.1  2002-03-21       0
2003  2003-03-27       336.5     327.1  2003-03-27       0
2004  2004-03-22       340.2     326.9  2004-03-21      -1
2005  2005-04-06       336.9     327.1  2005-04-06       0
2006  2006-03-27       318.3     327.8  2006-03-29       2
2007  2007-03-27       354.1     326.4  2007-03-25      -2
2008  2008-03-27       309.2     328.1  2008-03-30       3
2009  2009-03-21       331.9     327.3  2009-03-21       0
2010  2010-03-29       341.5     326.9  2010-03-28      -1
2011  2011-04-01       329.6     327.4  2011-04-01       0
2012  2012-04-05       370.8     325.8  2012-04-01      -4
2013  2013-03-22       281.7     329.2  2013-03-27       5
2014  2014-03-26       334.7     327.2  2014-03-26       0
2015  2015-03-28       337.2     327.1  2015-03-28       0
2016  2016-03-28       341.7     326.9  2016-03-27      -1
2017  2017-03-27       296.7     328.6  2017-03-31       4
2018  2018-03-28       332.7     327.2  2018-03-28       0
2019  2019-03-21       285.0     329.1  2019-03-27       6
2020  2020-03-23       334.2     327.2  2020-03-23       0
2021  2021-03-18       293.8     328.7  2021-03-22       4
2022  2022-03-27       315.4     327.9  2022-03-29       2
2023  2023-03-21       309.1     328.1  2023-03-23       2
2024  2024-03-23       313.2     328.0  2024-03-25       2
2025  2025-03-27       329.7     327.4  2025-03-27       0
2026  2026-03-24       356.6     326.3  2026-03-22      -2

MAE=1.59, 최대오차=6, 오차<=3일 비율=22/27


=== 만발 모델 (공식 기상청 자료, n=15) ===
최적 조합: 시작일 2/15, 기저온도 1도 -> LOOCV MAE 2.20일

연도    실제일                적산값       임계값         예측일      오차
2011  2011-04-04       304.3     316.0  2011-04-06       2
2012  2012-04-09       354.1     312.5  2012-04-06      -3
2013  2013-03-29       301.3     316.2  2013-03-31       2
2014  2014-04-02       371.9     311.2  2014-03-29      -4
2016  2016-04-03       335.1     313.8  2016-04-02      -1
2017  2017-04-01       289.1     317.1  2017-04-04       3
2018  2018-03-31       315.6     315.2  2018-03-31       0
2019  2019-03-27       284.9     317.4  2019-03-30       3
2020  2020-03-26       288.5     317.1  2020-03-29       3
2021  2021-03-23       269.7     318.5  2021-03-28       5
2022  2022-03-31       285.7     317.3  2022-04-04       4
2023  2023-03-27       316.3     315.2  2023-03-27       0
2024  2024-03-31       324.9     314.5  2024-03-31       0
2025  2025-04-02       323.3     314.7  2025-04-02       0
2026  2026-03-30       363.8     311.8  2026-03-27      -3

MAE=2.20, 최대오차=5, 오차<=3일 비율=12/15


