=== 개화 모델 (n=10) ===
최적 조합: 시작일 2/10, 기저온도 2도 -> MAE 2.50일

연도    실제일                적산값       임계값         예측일      오차
2008  2008-03-28       229.3     229.1  2008-03-28       0
2009  2009-03-22       268.6     224.7  2009-03-19      -3
2010  2010-03-30       253.4     226.4  2010-03-26      -4
2011  2011-04-01       234.7     228.5  2011-04-01       0
2012  2012-04-03       247.8     227.1  2012-04-01      -2
2013  2013-03-21       198.5     232.5  2013-03-26       5
2014  2014-03-24       220.3     230.1  2014-03-25       1
2015  2015-03-27       234.0     228.6  2015-03-27       0
2016  2016-03-25       232.4     228.8  2016-03-25       0
2017  2017-03-21       172.3     235.4  2017-03-31      10


=== 만개 모델 (n=7) ===
최적 조합: 시작일 2/20, 기저온도 2도 -> MAE 1.86일

연도    실제일                적산값       임계값         예측일      오차
2020  2020-03-26       234.0     259.5  2020-03-29       3
2021  2021-03-23       230.1     260.2  2021-03-26       3
2022  2022-03-31       247.6     257.2  2022-04-02       2
2023  2023-03-27       259.8     255.2  2023-03-27       0
2024  2024-04-01       257.0     255.7  2024-04-01       0
2025  2025-04-02       271.8     253.2  2025-03-31      -2
2026  2026-03-30       290.8     250.0  2026-03-27      -3


