연도,날짜,구분,출처,비고
2008,2008-03-28,개화,경남신문(2018),개화 시기 표현
2009,2009-03-22,개화,경남신문(2018),개화 시기 표현
2010,2010-03-30,개화,경남신문(2018),개화 시기 표현
2011,2011-04-01,개화,경남신문(2018),개화 시기 표현
2012,2012-04-03,개화,경남신문(2018),개화 시기 표현
2013,2013-03-21,개화,경남신문(2018),개화 시기 표현
2014,2014-03-24,개화,경남신문(2018),"개화 시기 표현, 4/1 축제시작시 낙화 언급"
2015,2015-03-27,개화,경남신문(2018),개화 시기 표현
2016,2016-03-25,개화,경남신문(2018),개화 시기 표현
2017,2017-03-21,개화,경남신문(2018),개화 시기 표현
2020,2020-03-26,만개,뉴스(창원기상대 80%기준),축제는 코로나로 취소
2021,2021-03-23,만개,뉴스(창원기상대 80%기준),축제는 코로나로 취소
2022,2022-03-31,만개,뉴스(창원기상대 80%기준),축제는 코로나로 취소
2023,2023-03-27,만개,뉴스(창원기상대 80%기준),4년만에 축제 재개
2024,2024-04-01,만개,뉴스(창원기상대 80%기준),
2025,2025-04-02,만개,뉴스(창원기상대 80%기준),
2026,2026-03-30,만개,다음뉴스(창원기상대 공식 발표),80% 기준 공식 발표
