연도,만개일,출처,비고
2007,,경남신문(2018),"3월 23일 개막일까지 벚꽃이 피지 않음(정확한 만개일 불명)"
2008,2008-03-28,경남신문(2018),
2009,2009-03-22,경남신문(2018),
2010,2010-03-30,경남신문(2018),
2011,2011-04-01,경남신문(2018),
2012,2012-04-03,경남신문(2018),
2013,2013-03-21,경남신문(2018),
2014,2014-03-24,경남신문(2018),"축제 시작 시 이미 낙화 시작 언급"
2015,2015-03-27,경남신문(2018),
2016,2016-03-25,경남신문(2018),
2017,2017-03-21,경남신문(2018),
2018,,케이웨더 예보,"3월 26일 개화 예보(실제 만개 확인 안됨, 예보치라 신뢰도 낮음)"
2019,,,미확인
2020,2020-03-26,뉴스검색,"축제는 코로나로 취소"
2021,2021-03-23,뉴스검색,"축제는 코로나로 취소"
2022,2022-03-31,뉴스검색,"축제는 코로나로 취소"
2023,2023-03-27,뉴스검색,"4년만에 축제 재개(61회)"
2024,2024-04-01,아던트뉴스 외,"축제기간 3/22~3/30, 만개는 축제 종료 후"
2025,2025-04-02,뉴스검색,"축제기간 3/29~4/6"
2026,2026-03-30,다음뉴스(창원기상대 공식 발표),"축제기간 3/27~4/5"
