연도,발아일,발아평비,개화일,개화평비,만발일,만발평비
2000,2000-03-07,-6,2000-03-31,2,,
2001,2001-03-08,-5,2001-03-27,-2,,
2002,2002-03-04,-9,2002-03-21,-8,,
2003,2003-02-27,-14,2003-03-27,-2,,
2004,2004-03-01,-12,2004-03-22,-7,,
2005,2005-03-14,1,2005-04-06,8,,
2006,2006-03-10,-3,2006-03-27,-2,,
2007,2007-03-15,2,2007-03-27,-2,,
2008,2008-03-17,4,2008-03-27,-2,,
2009,2009-03-10,-3,2009-03-21,-8,,
2010,2010-03-12,-1,2010-03-29,0,,
2011,2011-03-14,1,2011-04-01,3,2011-04-04,1
2012,2012-03-22,9,2012-04-05,7,2012-04-09,6
2013,2013-03-17,4,2013-03-22,-7,2013-03-29,-5
2014,2014-03-06,-7,2014-03-26,-3,2014-04-02,-1
2015,2015-03-21,8,2015-03-28,-1,,결측
2016,2016-03-21,8,2016-03-28,-1,2016-04-03,0
2017,2017-03-14,1,2017-03-27,-2,2017-04-01,-2
2018,2018-03-14,1,2018-03-28,-1,2018-03-31,-3
2019,2019-03-11,-2,2019-03-21,-8,2019-03-27,-7
2020,2020-03-09,-4,2020-03-23,-6,2020-03-26,-8
2021,2021-03-10,-3,2021-03-18,-11,2021-03-23,-11
2022,2022-03-14,1,2022-03-27,-2,2022-03-31,-3
2023,2023-03-11,-2,2023-03-21,-8,2023-03-27,-7
2024,2024-03-16,3,2024-03-23,-6,2024-03-31,-3
2025,2025-03-20,7,2025-03-27,-2,2025-04-02,-1
2026,2026-03-07,-6,2026-03-24,-5,2026-03-30,-4
